url,category,depth_limit,priority,notes
https://sist.shanghaitech.edu.cn/,school_info,2,1,SIST zh home and navigation
https://sist.shanghaitech.edu.cn/sist_en/,school_info,2,2,SIST en home and navigation
https://sist.shanghaitech.edu.cn/2710/list.htm,school_info,2,1,学院概况
https://sist.shanghaitech.edu.cn/2722/list.htm,school_info,1,1,使命和愿景
https://sist.shanghaitech.edu.cn/2723/list.htm,school_info,1,1,学院介绍
https://sist.shanghaitech.edu.cn/yzjy/list.htm,school_info,1,1,院长寄语
https://sist.shanghaitech.edu.cn/2724/list.htm,school_info,1,2,顾问委员会
https://sist.shanghaitech.edu.cn/2725/list.htm,school_info,1,2,院务委员会
https://sist.shanghaitech.edu.cn/sist_en/2710/list.htm,school_info,2,2,About US
https://sist.shanghaitech.edu.cn/sist_en/2723/list.htm,school_info,1,2,Vision and Mission
https://sist.shanghaitech.edu.cn/sist_en/2724/list.htm,school_info,1,2,About SIST
https://sist.shanghaitech.edu.cn/sist_en/2725/list.htm,school_info,1,2,Advisory Committee
https://sist.shanghaitech.edu.cn/sist_en/2727/list.htm,school_info,1,2,SIST Committees
https://sist.shanghaitech.edu.cn/sist_en/DeanwsWelcome/list.htm,school_info,1,2,Dean Welcome
https://sist.shanghaitech.edu.cn/2715/list.htm,research,2,1,科学研究
https://sist.shanghaitech.edu.cn/2848/list.htm,research,2,1,研究中心
https://sist.shanghaitech.edu.cn/2849/list.htm,research,2,1,联合实验室
https://sist.shanghaitech.edu.cn/sbjyjzx/list.htm,research,2,1,省部级研究中心
https://sist.shanghaitech.edu.cn/2854/list.htm,research,2,2,科研规章制度
https://sist.shanghaitech.edu.cn/cggg/list.htm,research,3,2,采购公告
https://sist.shanghaitech.edu.cn/zxdx/list.htm,research,3,2,EHS latest updates
https://sist.shanghaitech.edu.cn/gzzd/list.htm,research,2,2,EHS rules
https://sist.shanghaitech.edu.cn/cywd/list.htm,research,2,2,EHS documents
https://sist.shanghaitech.edu.cn/kysb/list.htm,research,2,2,科研设备
https://sist.shanghaitech.edu.cn/sist_en/2715/list.htm,research,2,2,Research
https://sist.shanghaitech.edu.cn/sist_en/2848/list.htm,research,2,2,Research Centers
https://sist.shanghaitech.edu.cn/sist_en/2849/list.htm,research,2,2,Joint Laboratories
https://vdi.sist.shanghaitech.edu.cn/,research,2,1,VDI center
https://nice.sist.shanghaitech.edu.cn/,research,2,1,NICE center
https://pmicc.sist.shanghaitech.edu.cn/,research,2,1,PMICC center
https://pmicc.sist.shanghaitech.edu.cn/research.html,research,1,1,PMICC research
https://pmicc.sist.shanghaitech.edu.cn/faculty.html,faculty,1,1,PMICC faculty
https://pmicc.sist.shanghaitech.edu.cn/publication.html,research,1,2,PMICC publications
https://cipes.sist.shanghaitech.edu.cn/,research,2,1,CiPES center
https://ssc.sist.shanghaitech.edu.cn/,research,2,1,SSC center
https://smirc.sist.shanghaitech.edu.cn/zh/,research,2,1,SMIRC zh
https://smirc.sist.shanghaitech.edu.cn/en/,research,2,2,SMIRC en
https://star-center.shanghaitech.edu.cn/,research,2,2,STAR center
https://sist.shanghaitech.edu.cn/szdwx/list.htm?col=0,faculty,2,1,常任教授
https://sist.shanghaitech.edu.cn/szdwx/list.htm?col=1,faculty,2,1,特聘教授
https://sist.shanghaitech.edu.cn/szdwx/list.htm?col=3,faculty,2,1,研究人员
https://sist.shanghaitech.edu.cn/szdwx/list.htm?col=4,faculty,2,2,支撑人员
https://sist.shanghaitech.edu.cn/szdwx/list.htm?col=5,faculty,2,2,行政人员
https://sist.shanghaitech.edu.cn/sist_en/szdwx/list.htm?col=0,faculty,2,2,Professors
https://sist.shanghaitech.edu.cn/sist_en/szdwx/list.htm?col=1,faculty,2,2,Distinguished Adjunct Professors
https://sist.shanghaitech.edu.cn/sist_en/szdwx/list.htm?col=2,faculty,2,2,Visiting Professors
https://sist.shanghaitech.edu.cn/sist_en/szdwx/list.htm?col=3,faculty,2,2,Research Staff
https://sist.shanghaitech.edu.cn/sist_en/szdwx/list.htm?col=4,faculty,2,2,Supporting Staff
https://sist.shanghaitech.edu.cn/sist_en/szdwx/list.htm?col=5,faculty,2,2,Administrative Staff
https://faculty.sist.shanghaitech.edu.cn/,faculty,3,2,SIST faculty subsite
https://sist.shanghaitech.edu.cn/2712/list.htm,program,2,1,学生培养
https://sist.shanghaitech.edu.cn/2833/list.htm,program,2,1,本科生培养
https://sist.shanghaitech.edu.cn/2834/list.htm,program,2,1,研究生培养
https://sist.shanghaitech.edu.cn/bydblc/list.htm,program_requirements,2,1,毕业答辩流程
https://sist.shanghaitech.edu.cn/pyfa/list.htm,program_requirements,2,1,培养方案
https://sist.shanghaitech.edu.cn/pyyxwsyxgxz/list.htm,program_requirements,2,1,培养与学位授予相关细则
https://sist.shanghaitech.edu.cn/ycdbgs/list.htm,events,3,2,远程答辩公示
https://sist.shanghaitech.edu.cn/2835/list.htm,courses,2,1,本硕博课程体系
https://sist.shanghaitech.edu.cn/2836/list.htm,courses,2,1,本科生教学教务
https://sist.shanghaitech.edu.cn/2837/list.htm,courses,2,1,研究生教学教务
https://sist.shanghaitech.edu.cn/jnpx/list.htm,courses,2,2,技能培训
https://sist.shanghaitech.edu.cn/xsfc/list.htm,news,3,2,学生风采
https://sist.shanghaitech.edu.cn/2842/list.htm,program_requirements,2,2,学生培养规章制度
https://sist.shanghaitech.edu.cn/2843/list.htm,program_requirements,2,2,资料下载
https://sist.shanghaitech.edu.cn/sist_en/2712/list.htm,program,2,2,Academics
https://sist.shanghaitech.edu.cn/sist_en/3905/list.htm,courses,2,2,SIST Curriculum
https://sist.shanghaitech.edu.cn/sist_en/3906/list.htm,courses,2,2,Undergraduate Teaching Affairs
https://sist.shanghaitech.edu.cn/sist_en/3907/list.htm,courses,2,2,Graduate Teaching Affairs
https://sist.shanghaitech.edu.cn/sist_en/UndergraduatePrograms/list.htm,program_requirements,1,2,CS Undergraduate Program
https://sist.shanghaitech.edu.cn/sist_en/EEUndergraduateProgram/list.htm,program_requirements,1,2,EE Undergraduate Program
https://sist.shanghaitech.edu.cn/sist_en/MasterProgram/list.htm,program_requirements,1,2,CS Master Program
https://sist.shanghaitech.edu.cn/sist_en/EEMasterProgram/list.htm,program_requirements,1,2,EE Master Program
